train_loss,val_loss,train_acc,val_acc,train_f1,val_f1
0.5472001501242658,0.3358553590051902,0.7943145129537759,0.8816442239546421,0.7519823668787844,0.8765443796076884
0.35205536163625817,0.2960078570751498,0.8723521537128908,0.8882589180250413,0.858738921015164,0.8828887200294171
0.2976682740951187,0.32184391753374475,0.8919599968501457,0.8884951570989842,0.8834157390500564,0.8670080657959797
0.26630083582952124,0.2405350868291616,0.9061343412867154,0.913772738010867,0.9000649386821281,0.9141777749995526
0.23326008113709687,0.20914973139748796,0.9172375777620285,0.9201511930073234,0.9125835005169258,0.9202444283152776
0.2156574483842059,0.21254817281114613,0.9230648082526183,0.923458540042523,0.9181712039535002,0.9262150173285484
0.1984811669231841,0.19961406888619343,0.9286557996692653,0.9298369950389794,0.9246205953198793,0.9313926553663618
0.1833144662201672,0.22006061864665236,0.9327506102842743,0.9232223009685802,0.9291895825177121,0.9223144131190693
0.16410171650851726,0.20435974999871515,0.9422001732419876,0.9312544294826365,0.9386832043358587,0.9337423295228371
0.15026365290540758,0.20350806982895175,0.9453500275612253,0.9296007559650367,0.943629166747899,0.930207198160256
0.13710110986530336,0.188921080190691,0.9523584534215292,0.9378691235530356,0.9516565952006101,0.9404708440561247
0.1253198261062304,0.218459639088386,0.9553508150248051,0.9293645168910938,0.9535522940133363,0.9325333563194089
0.12050330746986095,0.22677280433685426,0.9566107567525002,0.9350342546657218,0.9552666590075904,0.9359980477146531
0.1091419793515799,0.20812735933799031,0.9612567918733759,0.9324356248523505,0.9592197297602649,0.9368190484417093
0.0801026479812508,0.20544975444748417,0.9733837310024411,0.9395227970706355,0.9728901745998247,0.9451518183922321
0.06411247596385812,0.1988334606619217,0.977793527049374,0.9385778407748642,0.9772991434725897,0.9427223416582711
0.06521514866535415,0.2498478839055545,0.9768485707536027,0.934561776517836,0.9771685787629446,0.9385480416888062
0.057021028235559386,0.20649363319839453,0.9794472005669738,0.9407039924403496,0.9788211754060896,0.9460909226088643
0.04075385619456384,0.21972180585080558,0.9870068509331443,0.9369241672572644,0.9861279643697594,0.9420010621187385
0.03806832459284337,0.22741098504468618,0.9874005827230491,0.9388140798488069,0.9869551803681005,0.9456227804253744
0.03201283287913773,0.24241475438835094,0.988896763524687,0.9350342546657218,0.9887193353503196,0.9405634895247235
0.027569141638713036,0.23716937210045608,0.9908654224742106,0.9385778407748642,0.9909252381770661,0.9440302763537983
0.026044948698169687,0.23657630539210783,0.9911804079061344,0.93739664540515,0.9911858344068495,0.9429942442763063
